season,ep,rate
1,1,8.5
1,2,8.2
1,3,8.3
1,4,8.7
1,5,8.6
1,6,8.8
1,7,8.9
1,8,8.4
1,9,8.9
1,10,9.3
1,11,8.9
1,12,8.5
1,13,8.9
1,14,8.5
1,15,8.8
1,16,8.7
1,17,8.8
1,18,8.8
1,19,9.2
1,20,8.9
1,21,9.2
1,22,9.2
1,23,9.6
2,1,9.2
2,2,9.2
2,3,8.7
2,4,8.5
2,5,8.8
2,6,8.7
2,7,8.7
2,8,8.5
2,9,8.5
2,10,8.9
2,11,9
2,12,9.4
2,13,9.3
2,14,8.7
2,15,8.8
2,16,9.4
2,17,8.8
2,18,8.6
2,19,8.8
2,20,8.8
2,21,9.5
2,22,9.5
3,1,8.7
3,2,8.7
3,3,8.8
3,4,8.4
3,5,9.3
3,6,9.2
3,7,8.8
3,8,9.5
3,9,9.7
3,10,9.7
3,11,9.2
3,12,9.3
3,13,9
3,14,8.5
3,15,8.8
3,16,9.4
3,17,9.3
3,18,8.6
3,19,8.8
3,20,9.3
3,21,9.3
3,22,9.3
3,23,9.6
4,1,9
4,2,9
4,3,8.8
4,4,8.7
4,5,9.2
4,6,8.8
4,7,8.8
4,8,8.8
4,9,9.5
4,10,9.2
4,11,9.8
4,12,9.3
4,13,8.8
4,14,8.7
4,15,8.8
4,16,8.4
4,17,8.7
4,18,8.8
4,19,8.8
4,20,8.8
4,21,9.5
4,22,9.7
5,1,9.3
5,2,9.2
5,3,8.8
5,4,9.4
5,5,8.8
5,6,8.7
5,7,8.8
5,8,8.8
5,9,9.3
5,10,9.6
5,11,9.3
5,12,9.4
5,13,9.7
